
 ------------------------------------------------- 
[t=1560000.0s] a=27441, e=0.6542, i=4.9273, Fr=0.0705, Fs=0.6818, Fw=1.0000, reward=737.554
[t=1572000.0s] a=27485, e=0.6525, i=5.0296, Fr=-0.2909, Fs=1.0000, Fw=-0.7206, reward=903.388
[t=1584000.0s] a=27439, e=0.6498, i=5.1069, Fr=-0.6675, Fs=1.0000, Fw=1.0000, reward=937.295
[t=1596000.0s] a=27559, e=0.6508, i=5.1120, Fr=1.0000, Fs=0.5911, Fw=1.0000, reward=762.174
[t=1608000.0s] a=27473, e=0.6475, i=5.1874, Fr=-0.0043, Fs=1.0000, Fw=1.0000, reward=887.102
[t=1620000.0s] a=27526, e=0.6459, i=5.2618, Fr=0.4141, Fs=1.0000, Fw=1.0000, reward=887.035
[t=1632000.0s] a=27484, e=0.6433, i=5.3052, Fr=0.5210, Fs=0.0637, Fw=0.3045, reward=177.949
[t=1644000.0s] a=27684, e=0.6456, i=5.2979, Fr=0.7829, Fs=1.0000, Fw=-1.0000, reward=1019.154
[t=1656000.0s] a=27709, e=0.6438, i=5.3774, Fr=-1.0000, Fs=0.8771, Fw=1.0000, reward=820.174
[t=1668000.0s] a=27739, e=0.6416, i=5.4859, Fr=-0.2233, Fs=-0.2590, Fw=0.1858, reward=72.543
[t=1680000.0s] a=27879, e=0.6420, i=5.5363, Fr=-1.0000, Fs=1.0000, Fw=-0.5409, reward=757.681
[t=1692000.0s] a=28095, e=0.6444, i=5.5496, Fr=-0.2347, Fs=0.1734, Fw=1.0000, reward=516.121
[t=1704000.0s] a=28153, e=0.6428, i=5.6644, Fr=-0.3094, Fs=1.0000, Fw=-1.0000, reward=1060.685
[t=1716000.0s] a=28219, e=0.6415, i=5.7831, Fr=0.4492, Fs=0.6312, Fw=1.0000, reward=718.651
[t=1728000.0s] a=28384, e=0.6425, i=5.8430, Fr=-0.2969, Fs=1.0000, Fw=-0.6846, reward=826.599
[t=1740000.0s] a=28460, e=0.6426, i=5.8737, Fr=0.1995, Fs=1.0000, Fw=1.0000, reward=919.481
[t=1752000.0s] a=28498, e=0.6406, i=5.9811, Fr=1.0000, Fs=1.0000, Fw=0.4506, reward=669.186
[t=1764000.0s] a=28516, e=0.6381, i=6.0771, Fr=1.0000, Fs=0.9820, Fw=1.0000, reward=902.523
[t=1776000.0s] a=28609, e=0.6380, i=6.0989, Fr=0.9987, Fs=1.0000, Fw=0.0403, reward=524.883
[t=1788000.0s] a=28941, e=0.6421, i=6.1334, Fr=-0.5883, Fs=1.0000, Fw=0.3073, reward=629.750
[t=1800000.0s] a=28903, e=0.6389, i=6.2068, Fr=-0.7930, Fs=1.0000, Fw=-0.5566, reward=812.585
[t=1812000.0s] a=28973, e=0.6373, i=6.2487, Fr=-1.0000, Fs=1.0000, Fw=0.9025, reward=994.669
[t=1824000.0s] a=29072, e=0.6370, i=6.1725, Fr=1.0000, Fs=1.0000, Fw=-0.6698, reward=824.768
[t=1836000.0s] a=29179, e=0.6376, i=6.1776, Fr=1.0000, Fs=0.0518, Fw=0.5069, reward=280.531
[t=1848000.0s] a=29238, e=0.6360, i=6.0903, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=1060.648
[t=1860000.0s] a=29280, e=0.6339, i=5.9536, Fr=-0.2142, Fs=1.0000, Fw=-0.6029, reward=735.318
[t=1872000.0s] a=29207, e=0.6306, i=5.8987, Fr=-0.5427, Fs=1.0000, Fw=-1.0000, reward=970.010
[t=1884000.0s] a=29421, e=0.6330, i=5.9031, Fr=0.6432, Fs=1.0000, Fw=0.0095, reward=498.916
[t=1896000.0s] a=29442, e=0.6308, i=5.8298, Fr=0.8548, Fs=0.8155, Fw=-0.3847, reward=553.340
[t=1908000.0s] a=29459, e=0.6283, i=5.7105, Fr=1.0000, Fs=1.0000, Fw=0.3229, reward=680.841
[t=1920000.0s] a=29561, e=0.6275, i=5.6340, Fr=1.0000, Fs=1.0000, Fw=0.6696, reward=853.564
[t=1932000.0s] a=29609, e=0.6272, i=5.6293, Fr=0.7707, Fs=0.4446, Fw=1.0000, reward=722.385
[t=1944000.0s] a=29574, e=0.6243, i=5.5461, Fr=0.6201, Fs=0.2487, Fw=1.0000, reward=675.628
[t=1956000.0s] a=29655, e=0.6226, i=5.4211, Fr=-0.0239, Fs=1.0000, Fw=0.0702, reward=539.097
[t=1968000.0s] a=29733, e=0.6212, i=5.3131, Fr=0.8370, Fs=1.0000, Fw=1.0000, reward=1034.422
[t=1980000.0s] a=29842, e=0.6218, i=5.3006, Fr=-1.0000, Fs=1.0000, Fw=-0.7465, reward=882.342
[t=1992000.0s] a=29803, e=0.6192, i=5.2500, Fr=-1.0000, Fs=0.4592, Fw=0.4836, reward=496.060
[t=2004000.0s] a=29798, e=0.6162, i=5.1118, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1060.237
[t=2016000.0s] a=29828, e=0.6138, i=5.0067, Fr=0.8167, Fs=1.0000, Fw=1.0000, reward=1043.379
[t=2028000.0s] a=29971, e=0.6146, i=4.9623, Fr=-0.4841, Fs=0.8119, Fw=0.1501, reward=474.020
[t=2040000.0s] a=30215, e=0.6171, i=4.9316, Fr=-0.7378, Fs=1.0000, Fw=1.0000, reward=1038.807
[t=2052000.0s] a=30230, e=0.6145, i=4.8280, Fr=0.2903, Fs=1.0000, Fw=-0.0069, reward=502.333
[t=2064000.0s] a=30267, e=0.6122, i=4.6781, Fr=0.5954, Fs=1.0000, Fw=1.0000, reward=1052.502
[t=2076000.0s] a=30314, e=0.6108, i=4.6013, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=995.383
[t=2088000.0s] a=30667, e=0.6155, i=4.6009, Fr=-0.4811, Fs=1.0000, Fw=1.0000, reward=1019.944
[t=2100000.0s] a=30677, e=0.6132, i=4.5029, Fr=0.2472, Fs=1.0000, Fw=-0.6682, reward=759.959
[t=2112000.0s] a=30697, e=0.6103, i=4.3402, Fr=0.3746, Fs=1.0000, Fw=0.5878, reward=828.743
[t=2124000.0s] a=30844, e=0.6099, i=4.2020, Fr=-0.1814, Fs=1.0000, Fw=1.0000, reward=1029.401
[t=2136000.0s] a=31150, e=0.6136, i=4.1932, Fr=0.4494, Fs=1.0000, Fw=0.3251, reward=650.669
[t=2148000.0s] a=31127, e=0.6113, i=4.1422, Fr=-0.3585, Fs=1.0000, Fw=0.1541, reward=584.441
[t=2160000.0s] a=31173, e=0.6091, i=4.0036, Fr=0.2692, Fs=1.0000, Fw=-0.5966, reward=725.461
[t=2172000.0s] a=31229, e=0.6069, i=3.8313, Fr=-0.2584, Fs=0.9841, Fw=-0.2094, reward=574.340
[t=2184000.0s] a=31308, e=0.6059, i=3.7430, Fr=0.6951, Fs=1.0000, Fw=1.0000, reward=1007.350
[t=2196000.0s] a=31540, e=0.6085, i=3.7515, Fr=-0.4968, Fs=1.0000, Fw=0.3494, reward=682.991
[t=2208000.0s] a=31650, e=0.6078, i=3.6525, Fr=0.1882, Fs=0.2098, Fw=-0.0124, reward=109.056
[t=2220000.0s] a=31688, e=0.6051, i=3.4648, Fr=-0.8080, Fs=1.0000, Fw=-0.5325, reward=700.601
[t=2232000.0s] a=31723, e=0.6028, i=3.2769, Fr=0.3667, Fs=0.6781, Fw=1.0000, reward=877.146
[t=2244000.0s] a=31693, e=0.6005, i=3.2625, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=970.031
[t=2256000.0s] a=31847, e=0.6015, i=3.2232, Fr=0.2655, Fs=1.0000, Fw=-1.0000, reward=929.958
[t=2268000.0s] a=31832, e=0.5982, i=3.1991, Fr=0.2328, Fs=1.0000, Fw=1.0000, reward=913.635
[t=2280000.0s] a=31870, e=0.5955, i=3.3759, Fr=-0.0931, Fs=1.0000, Fw=0.6272, reward=746.814
[t=2292000.0s] a=31911, e=0.5933, i=3.5242, Fr=-0.7143, Fs=1.0000, Fw=1.0000, reward=936.209
[t=2304000.0s] a=32176, e=0.5964, i=3.5332, Fr=0.3533, Fs=1.0000, Fw=-1.0000, reward=970.673
[t=2316000.0s] a=32066, e=0.5926, i=3.5774, Fr=-0.2340, Fs=1.0000, Fw=-1.0000, reward=1042.067
[t=2328000.0s] a=32128, e=0.5905, i=3.7330, Fr=-0.0462, Fs=1.0000, Fw=1.0000, reward=879.398
[t=2340000.0s] a=32205, e=0.5884, i=3.9129, Fr=-1.0000, Fs=0.4710, Fw=1.0000, reward=629.263
[t=2352000.0s] a=32230, e=0.5862, i=4.0218, Fr=1.0000, Fs=1.0000, Fw=-0.7271, reward=878.651
[t=2364000.0s] a=32526, e=0.5900, i=4.0042, Fr=0.5992, Fs=1.0000, Fw=-0.0236, reward=503.781
