
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1116000.0s] a=8561, e=0.3913, goal_e=0.1917, Fr=-0.5660, Fs=0.0659, reward=33.745
[t=1128000.0s] a=8570, e=0.3943, goal_e=0.1917, Fr=-0.3605, Fs=0.2051, reward=186.314
[t=1140000.0s] a=8572, e=0.3962, goal_e=0.1917, Fr=-0.1214, Fs=-0.6481, reward=169.187
[t=1152000.0s] a=8582, e=0.3981, goal_e=0.1917, Fr=0.8707, Fs=0.0212, reward=-79.672
[t=1164000.0s] a=8583, e=0.4003, goal_e=0.1917, Fr=-0.6027, Fs=-1.0000, reward=112.699
[t=1176000.0s] a=8576, e=0.4014, goal_e=0.1917, Fr=0.5859, Fs=1.0000, reward=145.519
[t=1188000.0s] a=8579, e=0.4023, goal_e=0.1917, Fr=0.8554, Fs=0.6919, reward=-70.679
[t=1200000.0s] a=8587, e=0.4033, goal_e=0.1917, Fr=0.6720, Fs=-0.1867, reward=-102.507
[t=1212000.0s] a=8584, e=0.4055, goal_e=0.1917, Fr=-1.0000, Fs=-0.5554, reward=105.522
[t=1224000.0s] a=8601, e=0.4069, goal_e=0.1917, Fr=1.0000, Fs=0.8088, reward=47.128
[t=1236000.0s] a=8614, e=0.4088, goal_e=0.1917, Fr=0.0623, Fs=0.8218, reward=-182.605
[t=1248000.0s] a=8617, e=0.4097, goal_e=0.1917, Fr=-1.0000, Fs=1.0000, reward=11.247
[t=1260000.0s] a=8619, e=0.4121, goal_e=0.1917, Fr=-0.9669, Fs=0.6991, reward=-194.237
[t=1272000.0s] a=8638, e=0.4141, goal_e=0.1917, Fr=-1.0000, Fs=-1.0000, reward=-215.498
[t=1284000.0s] a=8642, e=0.4155, goal_e=0.1917, Fr=-0.7159, Fs=1.0000, reward=-218.739
[t=1296000.0s] a=8639, e=0.4172, goal_e=0.1917, Fr=-0.2996, Fs=-0.3138, reward=-2033.100
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
