
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1080000.0s] a=8500, e=0.1468, goal_e=0.2334, Fr=0.5148, Fs=1.0000, reward=-54.534
[t=1092000.0s] a=8495, e=0.1492, goal_e=0.2334, Fr=-0.5172, Fs=0.1017, reward=-230.741
[t=1104000.0s] a=8506, e=0.1519, goal_e=0.2334, Fr=-0.0679, Fs=-0.8365, reward=-249.038
[t=1116000.0s] a=8485, e=0.1558, goal_e=0.2334, Fr=-1.0000, Fs=-1.0000, reward=-67.997
[t=1128000.0s] a=8504, e=0.1604, goal_e=0.2334, Fr=0.8519, Fs=0.2065, reward=-27.172
[t=1140000.0s] a=8493, e=0.1635, goal_e=0.2334, Fr=0.1185, Fs=0.0412, reward=-202.285
[t=1152000.0s] a=8507, e=0.1670, goal_e=0.2334, Fr=-0.8105, Fs=-1.0000, reward=-19.803
[t=1164000.0s] a=8494, e=0.1704, goal_e=0.2334, Fr=-0.3855, Fs=-1.0000, reward=-210.549
[t=1176000.0s] a=8501, e=0.1756, goal_e=0.2334, Fr=0.5629, Fs=-1.0000, reward=6.032
[t=1188000.0s] a=8493, e=0.1784, goal_e=0.2334, Fr=1.0000, Fs=-1.0000, reward=-196.497
[t=1200000.0s] a=8487, e=0.1809, goal_e=0.2334, Fr=0.8425, Fs=-0.0895, reward=-187.341
[t=1212000.0s] a=8498, e=0.1846, goal_e=0.2334, Fr=0.3940, Fs=-0.5569, reward=-175.586
[t=1224000.0s] a=8493, e=0.1878, goal_e=0.2334, Fr=1.0000, Fs=-0.6730, reward=21.934
[t=1236000.0s] a=8508, e=0.1910, goal_e=0.2334, Fr=-0.3406, Fs=-1.0000, reward=-174.133
[t=1248000.0s] a=8490, e=0.1953, goal_e=0.2334, Fr=-1.0000, Fs=1.0000, reward=-173.070
[t=1260000.0s] a=8509, e=0.1986, goal_e=0.2334, Fr=-0.5964, Fs=0.6535, reward=-163.922
[t=1272000.0s] a=8494, e=0.2021, goal_e=0.2334, Fr=1.0000, Fs=1.0000, reward=-151.862
[t=1284000.0s] a=8501, e=0.2056, goal_e=0.2334, Fr=1.0000, Fs=-1.0000, reward=59.191
[t=1296000.0s] a=8488, e=0.2096, goal_e=0.2334, Fr=-0.3836, Fs=0.1243, reward=-272.180
 FAILURE #4 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8495, e=0.2300, goal_e=0.1838, Fr=0.7195, Fs=0.5804, reward=24.833
[t=24000.0s] a=8493, e=0.2263, goal_e=0.1838, Fr=0.8434, Fs=1.0000, reward=-174.320
[t=36000.0s] a=8500, e=0.2225, goal_e=0.1838, Fr=0.9838, Fs=0.7418, reward=41.738
[t=48000.0s] a=8488, e=0.2178, goal_e=0.1838, Fr=-0.3742, Fs=-0.6812, reward=29.704
[t=60000.0s] a=8500, e=0.2132, goal_e=0.1838, Fr=-0.7754, Fs=-0.4394, reward=-142.809
[t=72000.0s] a=8491, e=0.2076, goal_e=0.1838, Fr=1.0000, Fs=0.4187, reward=-147.634
[t=84000.0s] a=8496, e=0.2035, goal_e=0.1838, Fr=-1.0000, Fs=-0.3729, reward=-111.886
[t=96000.0s] a=8491, e=0.1987, goal_e=0.1838, Fr=-0.1165, Fs=-0.4830, reward=-112.289
[t=108000.0s] a=8503, e=0.1929, goal_e=0.1838, Fr=1.0000, Fs=-0.0280, reward=148.748
[t=120000.0s] a=8491, e=0.1891, goal_e=0.1838, Fr=0.3134, Fs=-1.0000, reward=-77.650
 SUCCESS #3 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8506, e=0.0972, goal_e=0.0357, Fr=-0.1964, Fs=-0.1329, reward=-182.262
[t=24000.0s] a=8496, e=0.0932, goal_e=0.0357, Fr=1.0000, Fs=1.0000, reward=-196.526
[t=36000.0s] a=8498, e=0.0884, goal_e=0.0357, Fr=1.0000, Fs=1.0000, reward=15.507
[t=48000.0s] a=8496, e=0.0847, goal_e=0.0357, Fr=-0.0491, Fs=1.0000, reward=-179.860
[t=60000.0s] a=8504, e=0.0799, goal_e=0.0357, Fr=-0.5774, Fs=0.7630, reward=29.696
[t=72000.0s] a=8495, e=0.0760, goal_e=0.0357, Fr=0.3864, Fs=1.0000, reward=-165.276
[t=84000.0s] a=8503, e=0.0717, goal_e=0.0357, Fr=-0.3036, Fs=-0.8498, reward=-154.339
[t=96000.0s] a=8494, e=0.0675, goal_e=0.0357, Fr=-0.3177, Fs=-1.0000, reward=-152.154
[t=108000.0s] a=8496, e=0.0625, goal_e=0.0357, Fr=0.7291, Fs=-0.6715, reward=58.579
[t=120000.0s] a=8484, e=0.0571, goal_e=0.0357, Fr=0.5679, Fs=0.7931, reward=30.411
[t=132000.0s] a=8495, e=0.0528, goal_e=0.0357, Fr=1.0000, Fs=-0.6275, reward=71.584
[t=144000.0s] a=8499, e=0.0483, goal_e=0.0357, Fr=-0.2367, Fs=0.8714, reward=101.063
[t=156000.0s] a=8485, e=0.0432, goal_e=0.0357, Fr=-0.9562, Fs=-1.0000, reward=118.647
 SUCCESS #4 of #8 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8499, e=0.0736, goal_e=0.1625, Fr=0.4411, Fs=0.6525, reward=-258.930
[t=24000.0s] a=8499, e=0.0695, goal_e=0.1625, Fr=1.0000, Fs=-0.7745, reward=-268.866
[t=36000.0s] a=8516, e=0.0640, goal_e=0.1625, Fr=1.0000, Fs=-0.6139, reward=-116.140
[t=48000.0s] a=8502, e=0.0591, goal_e=0.1625, Fr=0.3716, Fs=1.0000, reward=-91.861
[t=60000.0s] a=8516, e=0.0543, goal_e=0.1625, Fr=-1.0000, Fs=0.8223, reward=-339.315
[t=72000.0s] a=8494, e=0.0477, goal_e=0.1625, Fr=-1.0000, Fs=-1.0000, reward=-322.762
[t=84000.0s] a=8515, e=0.0426, goal_e=0.1625, Fr=-0.0975, Fs=0.1407, reward=-337.610
[t=96000.0s] a=8501, e=0.0374, goal_e=0.1625, Fr=-0.3174, Fs=0.6745, reward=-337.843
[t=108000.0s] a=8499, e=0.0327, goal_e=0.1625, Fr=-0.7218, Fs=-0.9847, reward=-148.783
[t=120000.0s] a=8492, e=0.0285, goal_e=0.1625, Fr=-0.3584, Fs=0.3671, reward=-364.913
