
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=696000.0s] a=8498, e=0.0013, goal_e=0.1988, Fr=-1.0000, Fs=0.2326, reward=222.914
[t=708000.0s] a=8497, e=0.0020, goal_e=0.1988, Fr=0.5439, Fs=-1.0000, reward=222.358
[t=720000.0s] a=8521, e=0.0036, goal_e=0.1988, Fr=0.7779, Fs=1.0000, reward=163.501
[t=732000.0s] a=8541, e=0.0028, goal_e=0.1988, Fr=-1.0000, Fs=0.7065, reward=69.276
[t=744000.0s] a=8531, e=0.0027, goal_e=0.1988, Fr=-1.0000, Fs=1.0000, reward=-278.124
[t=756000.0s] a=8539, e=0.0029, goal_e=0.1988, Fr=-0.4595, Fs=-0.3033, reward=-114.126
[t=768000.0s] a=8533, e=0.0041, goal_e=0.1988, Fr=1.0000, Fs=-0.9587, reward=108.223
[t=780000.0s] a=8545, e=0.0030, goal_e=0.1988, Fr=0.8494, Fs=0.0797, reward=-358.442
[t=792000.0s] a=8549, e=0.0038, goal_e=0.1988, Fr=-1.0000, Fs=0.1952, reward=-384.470
[t=804000.0s] a=8548, e=0.0030, goal_e=0.1988, Fr=1.0000, Fs=-0.0968, reward=-379.970
[t=816000.0s] a=8545, e=0.0032, goal_e=0.1988, Fr=0.1676, Fs=1.0000, reward=-360.123
[t=828000.0s] a=8550, e=0.0027, goal_e=0.1988, Fr=0.3561, Fs=0.9140, reward=0.391
[t=840000.0s] a=8560, e=0.0025, goal_e=0.1988, Fr=-0.6967, Fs=1.0000, reward=-463.917
[t=852000.0s] a=8568, e=0.0023, goal_e=0.1988, Fr=-0.3298, Fs=-0.0529, reward=-502.302
[t=864000.0s] a=8582, e=0.0028, goal_e=0.1988, Fr=-0.3356, Fs=-1.0000, reward=-1401.892
 FAILURE #6 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8507, e=0.1777, goal_e=0.2025, Fr=-1.0000, Fs=0.7438, reward=157.050
[t=24000.0s] a=8513, e=0.1782, goal_e=0.2025, Fr=1.0000, Fs=-0.0069, reward=385.507
[t=36000.0s] a=8508, e=0.1789, goal_e=0.2025, Fr=1.0000, Fs=0.5767, reward=155.634
[t=48000.0s] a=8521, e=0.1798, goal_e=0.2025, Fr=-1.0000, Fs=-0.9549, reward=109.872
[t=60000.0s] a=8505, e=0.1808, goal_e=0.2025, Fr=-0.8280, Fs=-0.8132, reward=385.891
[t=72000.0s] a=8516, e=0.1808, goal_e=0.2025, Fr=0.1629, Fs=0.5823, reward=155.425
[t=84000.0s] a=8504, e=0.1821, goal_e=0.2025, Fr=-0.8613, Fs=-1.0000, reward=387.982
[t=96000.0s] a=8503, e=0.1808, goal_e=0.2025, Fr=-0.6239, Fs=-0.2087, reward=168.576
[t=108000.0s] a=8522, e=0.1801, goal_e=0.2025, Fr=0.7893, Fs=-0.3011, reward=103.595
[t=120000.0s] a=8517, e=0.1794, goal_e=0.2025, Fr=0.9244, Fs=-0.0870, reward=370.560
[t=132000.0s] a=8502, e=0.1802, goal_e=0.2025, Fr=-1.0000, Fs=-0.1283, reward=409.337
[t=144000.0s] a=8501, e=0.1796, goal_e=0.2025, Fr=0.5210, Fs=0.2830, reward=168.604
[t=156000.0s] a=8503, e=0.1798, goal_e=0.2025, Fr=-0.1241, Fs=-0.4557, reward=168.597
[t=168000.0s] a=8515, e=0.1805, goal_e=0.2025, Fr=-1.0000, Fs=0.5382, reward=133.946
[t=180000.0s] a=8506, e=0.1800, goal_e=0.2025, Fr=0.0182, Fs=1.0000, reward=383.540
[t=192000.0s] a=8507, e=0.1796, goal_e=0.2025, Fr=-0.6191, Fs=0.7997, reward=159.675
[t=204000.0s] a=8513, e=0.1802, goal_e=0.2025, Fr=-1.0000, Fs=-1.0000, reward=143.242
[t=216000.0s] a=8510, e=0.1804, goal_e=0.2025, Fr=0.4925, Fs=0.4003, reward=154.658
[t=228000.0s] a=8500, e=0.1809, goal_e=0.2025, Fr=1.0000, Fs=0.2044, reward=390.327
[t=240000.0s] a=8512, e=0.1816, goal_e=0.2025, Fr=1.0000, Fs=-0.2273, reward=147.582
